id,fam,date,who,status,early,target,pop,n,pos,features,kind,auc,note,source
A001,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.804,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A002,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,G,in-sample,0.834,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A003,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,TRIO,LOOCV,0.736,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A004,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,TRIO,in-sample,0.808,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A005,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,COMB,LOOCV,0.86,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A006,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,COMB,in-sample,0.89,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A007,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,valid_only,32,20,G,LOOCV,0.7792,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A008,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,valid_only,32,20,G,in-sample,0.825,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A009,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,valid_only,32,20,TRIO,LOOCV,0.775,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A010,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,valid_only,32,20,TRIO,in-sample,0.8583,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A011,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,valid_only,32,20,COMB,LOOCV,0.8125,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A012,F1,2026-05-23 (commit 7271fa0; congelado en 3f3b70c),Thomas (pipeline histórico),DOC-REPO,E_H5,T_STABLE,valid_only,32,20,COMB,in-sample,0.9083,,data/results/early_prediction_summary.csv; src/08_early_prediction.py
A013,F2,2026-08-21,Sesión Codex/Claude previa (paquete para Esteban),DOC-PKT,E_H≤20,T_ORIENT_H,partición tardía válida,29,21,G,LOOCV,0.744,"Ventanas calendario 1–20 y 41–60, sin solapamiento.",docs/esteban_meeting/methodology_audit.csv y reproduction_log.md (sin trackear en main; copia en ~/Downloads/sodcl-pro-review/claude_artifacts/esteban_packet_copy)
A014,F2,2026-08-21,Sesión Codex/Claude previa (paquete para Esteban),DOC-PKT,E_P≤20,T_ORIENT_P,partición tardía válida,28,21,G,LOOCV,0.789,Todas las ausentes ≤20 frente a 41–60.,docs/esteban_meeting/methodology_audit.csv y reproduction_log.md (sin trackear en main; copia en ~/Downloads/sodcl-pro-review/claude_artifacts/esteban_packet_copy)
A015,F2,2026-08-21,Sesión Codex/Claude previa (paquete para Esteban),DOC-PKT,E_P5,T_ORIENT_P,partición tardía válida,28,21,G,LOOCV,0.361,"Misma cohorte temprana que TEMPORAL_REPAIR. Un AUC LOOCV <0,5 con una sola variable indica ausencia de señal, no señal inversa.",docs/esteban_meeting/methodology_audit.csv y reproduction_log.md (sin trackear en main; copia en ~/Downloads/sodcl-pro-review/claude_artifacts/esteban_packet_copy)
A016,F2,2026-08-21,Sesión Codex/Claude previa (paquete para Esteban),DOC-PKT,E_H5,T_STABLE,valid_only,32,20,G_proj,LOOCV,0.7875,reproduction_log.md; plantillas proyectadas.,docs/esteban_meeting/methodology_audit.csv y reproduction_log.md (sin trackear en main; copia en ~/Downloads/sodcl-pro-review/claude_artifacts/esteban_packet_copy)
A017,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.834,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A018,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,S,sin modelo,0.78,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A019,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,D,sin modelo,0.753,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A020,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,C,sin modelo,0.77,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A021,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,valid_only,32,20,G,sin modelo,0.825,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A022,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,valid_only,32,20,S,sin modelo,0.8375,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A023,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,valid_only,32,20,D,sin modelo,0.7667,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A024,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,valid_only,32,20,C,sin modelo,0.8083,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
